Company Name,Ticker,Optionable,Div. Yield %,Sector,Last Close,Relative Price Change,5 Yr. Hist. EPS Growth,% Change EPS (F(-1)/F(-2)),Sales Growth F(0)/F(-1),5 Yr Historical Sales Growth,ROA (5 Yr Avg),Current ROA (TTM),ROI (5 Yr Avg),Inventory Turnover,Asset Utilization,Net Margin %
"BioRad Laboratories, Inc.","BIO","YES","0","Medical","587.55","-7.91","30.3","116.43","10.12","4.05","2.66109","2.9","3.42289","1.81019",".23261","149.52"
"Biogen Inc.","BIIB","YES","0","Medical","271.76","4.53","17.25","-32.06","-6.49","6.44","21.62999","21.07","28.486","1.8478",".53149","29.76"
"Bloomin Brands, Inc.","BLMN","YES","0","Retail-Wholesale","26.635","25.97","2.83","-221.55","-23.41","-4.16","4.1652","-1.64","7.9601","31.503",".91043","-5.01"
"Boot Barn Holdings, Inc.","BOOT","YES","0","Retail-Wholesale","66.01","33.66","27.93","-20.34","8.85","8.89","4.0932","4.46","6.74919","2.1293",".91864","4.93"
"Boston Scientific Corporation","BSX","YES","0","Medical","38.95",".02","4.84","-103.09","-7.66","6.55","8.50329","4.54","12.71399","2.32279",".32354","-1.46"
"Boyd Gaming Corporation","BYD","YES","0","Consumer Discretionary","62.93","32.86","16.73","-103.47","-34.5","5.93","2.193","-.25","2.5155","44.783",".31595","-.25"
"Brinker International, Inc.","EAT","YES","0","Retail-Wholesale","68.99","12.22","-10.34","-96.91","-4.33","-.7","9.98569","1.73","21.48299","96.357","1.21399",".15"
"BuildABear Workshop, Inc.","BBW","YES","0","Retail-Wholesale","7.57","58.55","-31.44","-9493.13","-24.59","-6.78",".41721","-5.83","-2.18261","3.0555",".95203","-9.64"
"Builders FirstSource, Inc.","BLDR","YES","0","Retail-Wholesale","48.05","7.4","39.61","41.35","17.56","7.78","5.9807","9.41","8.5935","9.0815","2.2067","3.66"
"Burlington Stores, Inc.","BURL","YES","0","Retail-Wholesale","305.49","5.68","17.45","-146.55","-20.89","3.78","8.3029","-2.5","20.79199","5.00489",".86349","-3.76"
"CAE Inc","CAE","YES","0","Aerospace","29.28","-3.71","1.39","-95.44","7.29","6.79","4.8097","2.41","7.7227","3.3069",".39164",".53"
"CECO Environmental Corp.","CECE","YES","0","Industrial Products","8.15","8.25","-9.78","-53.63","-7.56","-5.3","4.03359","4.62","6.2009","11.493",".74134","2.6"
"CGI Group, Inc.","GIB","YES","0","Computer and Technology","84.72","-1.8","9.6","-6.46","-.96","3.38","9.6463","8.67","13.93599","9.48439",".80005","9.68"
"CIRCOR International, Inc.","CIR","YES","0","Industrial Products","35.21","-13.93","-2.73","-41.71","-19.81","12.65","3.0938","2.41","4.16179","3.73099",".63837","-23.99"
"CNH Industrial N.V.","CNHI","YES","0","Auto-Tires-Trucks","15.85","15.06","1.8","-134.67","-7.29","1.57","1.77789",".86","2.7701","3.1486",".56988","-1.89"
"CNX Resources Corporation.","CNX","YES","0","Oils-Energy","14.92","24.34","21.88","-499.25","-34.56","-12.92",".91026","1.38","1.0101","44.75",".15239","-38.46"
"CVR Energy Inc.","CVI","YES","0","Oils-Energy","19.51","21.16","51.32","-167.11","-38.25","1.65","3.47989","-6.72","4.7087","15.038",".98799","-6.49"
"Cadence Design Systems, Inc.","CDNS","YES","0","Computer and Technology","143.46","-1.52","39.63","-40.28","14.83","9.07","16.926","14.9","24.836","5.3494",".67671","22.01"
"Caesars Entertainment, Inc.","CZR","YES","0","Consumer Discretionary","92.5","11.84","-6.2","-2268.66","37.41","34.39","1.32829","-7.14","1.46","51.09899",".16411","-50.57"
"CalAmp Corp.","CAMP","YES","0","Computer and Technology","11.19","4.09","-34.66","-746.63",".63","2.78","5.27759","-1.23","6.868","6.11689",".71384","-30.51"
"CalMaine Foods, Inc.","CALM","YES","0","Basic Materials","39.13","-5.86","-21.31","207.98","-.7",".15","4.84779","5.56","5.98579","6.16909","1.20889","4.6"
"Callaway Golf Company","ELY","YES","0","Consumer Discretionary","27.28","4","23.5","-259.85","-6.56","17.48","6.21929","3.18","8.97609","2.53699",".80057","-7.99"
"Camtek Ltd.","CAMT","YES","0","Computer and Technology","33.26","39.49","34.46","-.95","16.3","7.99","10.894","10.06","15.092","2.5388",".71972","13.97"
"Canada Goose Holdings Inc.","GOOS","YES","0","Retail-Wholesale","40.91","24.28","5.17","-53.67","13.82","16.47","15.781","5.69","22.419",".82464",".63494","8.78"
"Canadian Solar Inc.","CSIQ","YES","0","Oils-Energy","47.75","-16.56","20.34","-14.5","8.62","1.41","2.53699","1.81","7.8635","4.4586",".59672","4.22"
"Cantel Medical Corp.","CMD","YES","0","Medical","82.14","-3.41","2.89","144.15","10.66","10.97","9.1456","4.45","10.972","3.33229",".52575","4.72"
"Capri Holdings Limited","CPRI","YES","0","Retail-Wholesale","50.4","10.09","-13.61","-223.92","5.98","1.55","17.60199","3.18","26.347","1.7905",".52243","-10.6"
"CarMax, Inc.","KMX","YES","0","Retail-Wholesale","126.33","24.87","10.83","-15.93","-6.74","5.27","4.13889","3.73","4.54899","6.217",".9057","3.94"
"Cardtronics PLC","CATM","YES","0","Business Services","38.9","1.4","-13.9","-60.34","-18.93","-1.36","6.2255","3.04","9.08129","78.46299",".56647","1.75"
"Carnival Corporation","CUK","YES","0","Consumer Discretionary","24.12","16.53","-12.93","-442.31","-73.13","-5.08","4.74599","-11.52","6.0865","16.899",".11123","-182.96"
"Carnival Corporation","CCL","YES","0","Consumer Discretionary","28.6","19.54","-12.93","-442.31","-73.13","-5.08","4.74599","-11.52","6.0865","16.899",".11123","-182.96"
